timestamp,app,title,duration,source
2026-08-04T13:27:23+08:00,com.apple.TextEdit,Text Edit,8.0,Mac
2026-08-04T13:27:31+08:00,com.apple.Terminal,Terminal,9.0,Mac
2026-08-04T13:27:40+08:00,com.google.Chrome,Chrome,1.0,Mac
2026-08-04T13:27:41+08:00,com.apple.Terminal,Terminal,40.0,Mac
2026-08-04T13:28:21+08:00,com.google.Chrome,Chrome,17.0,Mac
2026-08-04T13:28:38+08:00,com.apple.Terminal,Terminal,0.0,Mac
2026-08-04T13:28:38+08:00,com.google.Chrome,Chrome,1.0,Mac
2026-08-04T13:28:39+08:00,com.apple.TextEdit,Text Edit,59.0,Mac
2026-08-04T13:29:38+08:00,md.obsidian,Obsidian,6.0,Mac
2026-08-04T13:29:44+08:00,com.apple.TextEdit,Text Edit,8.0,Mac
2026-08-04T13:29:52+08:00,md.obsidian,Obsidian,4.0,Mac
2026-08-04T13:29:56+08:00,com.apple.TextEdit,Text Edit,7.0,Mac
2026-08-04T13:30:03+08:00,md.obsidian,Obsidian,6.0,Mac
2026-08-04T13:30:09+08:00,com.apple.TextEdit,Text Edit,1.0,Mac
2026-08-04T13:30:10+08:00,md.obsidian,Obsidian,4.0,Mac
2026-08-04T13:30:14+08:00,com.apple.TextEdit,Text Edit,25.0,Mac
2026-08-04T13:30:39+08:00,md.obsidian,Obsidian,5.0,Mac
2026-08-04T13:30:44+08:00,com.apple.TextEdit,Text Edit,1.0,Mac
2026-08-04T13:30:45+08:00,md.obsidian,Obsidian,1.0,Mac
2026-08-04T13:30:46+08:00,com.apple.Terminal,Terminal,15.0,Mac
2026-08-04T13:31:01+08:00,com.apple.finder,Finder,4.0,Mac
2026-08-04T13:31:05+08:00,com.apple.Terminal,Terminal,4.0,Mac
2026-08-04T13:31:09+08:00,com.google.Chrome,Chrome,1.0,Mac
2026-08-04T13:31:10+08:00,com.apple.Terminal,Terminal,0.0,Mac
2026-08-04T13:31:10+08:00,com.google.Chrome,Chrome,1.0,Mac
2026-08-04T13:31:11+08:00,com.apple.finder,Finder,3.0,Mac
2026-08-04T13:31:14+08:00,com.apple.TextEdit,Text Edit,6.0,Mac
2026-08-04T13:31:20+08:00,com.apple.finder,Finder,1.0,Mac
2026-08-04T13:31:21+08:00,com.google.Chrome,Chrome,1.0,Mac
2026-08-04T13:31:22+08:00,md.obsidian,Obsidian,14.0,Mac
2026-08-04T13:31:36+08:00,com.apple.Terminal,Terminal,3.0,Mac
